id,name,code
7e5fbd4b-ff43-4dc0-a1cb-5ce763f00b2b,Great Grimsby,E14000716
a8674d1d-25fe-4eff-a0ca-4471fce21131,West Aberdeenshire and Kincardine,S14000058
81118081-f44d-4044-af1a-f8f44d7b697a,Stirling,S14000057
0bbf98aa-63f9-4258-8d6a-8733269a554b,West Dunbartonshire,S14000059
61e43203-0167-4991-bddc-f768abac92be,South West Surrey,E14000953
18865f37-dd35-446c-b58c-5328d6d5d472,Newcastle upon Tyne East,E14000832
80552879-967b-4f2d-bc9d-36ec37244359,Gillingham and Rainham,E14000711
564d1e8f-96f9-439b-9e2a-8cc61cd378d8,South West Norfolk,E14000952
855914e7-546e-4f5d-9137-90438fcc5df0,Newcastle upon Tyne Central,E14000831
44a81354-92df-4286-86ba-291727473c10,Gedling,E14000710
5481d2f8-2184-415c-b460-f53781c5d66f,South West Hertfordshire,E14000951
b8233fe6-f785-4c69-a624-fa658a7724ee,Newbury,E14000830
7f46235d-cff6-4894-b6e3-72e2bef193d2,South West Devon,E14000950
8e930604-aa3e-4231-92bb-f0c96cce36f9,South Suffolk,E14000946
440b28c4-1beb-47cb-870b-ab7cd0bfc726,Morecambe and Lunesdale,E14000825
f0517fd4-4913-4bb5-934a-5b41b10af988,Folkestone and Hythe,E14000704
03fdb4aa-fa2c-4a36-8982-608f8608997a,South Staffordshire,E14000945
680708be-e67a-490c-af3c-30d8c1d3f0f3,Mole Valley,E14000824
8b4b9358-5879-4d05-a92c-2d4486c4718f,Finchley and Golders Green,E14000703
1595fa5f-2f4a-46f8-9945-65ff75110beb,South Shields,E14000944
2508a183-f0e6-4217-89a9-f06bf2b08aae,Mitcham and Morden,E14000823
0e72c809-a73a-479f-ad5a-5eae1a807973,Filton and Bradley Stoke,E14000702
8c15679a-c93d-46a1-8b42-e07d468659fa,South Ribble,E14000943
80b7306b-5adb-41ed-a5a7-b1daac5a8675,Milton Keynes South,E14000822
b99990fb-d881-4f5d-b419-a85e00a685b0,Feltham and Heston,E14000701
f71f91ef-08fa-4356-aa35-7552a3356db4,Newark,E14000829
5c8a670c-7235-4333-88b8-12af28213d03,Garston and Halewood,E14000708
4d65142e-1bc2-4c09-aee7-be8dc89a0b7e,South West Bedfordshire,E14000949
596f744b-0e48-4a01-be11-49d790b250bb,New Forest West,E14000828
c0543955-8461-4027-9085-bbf81681bfb4,Gainsborough,E14000707
20bec7df-f481-460b-9980-3a895e5f7a88,Aberdeen North,S14000001
910f5d5c-bd7c-4aa2-a602-7f243af94655,South Thanet,E14000948
aeb9948e-4fc6-49b3-9cf8-dc7dae08d43b,New Forest East,E14000827
abd9a1bf-8bf4-4617-a58a-b308d6c73f31,Fylde,E14000706
ab1f3172-ff49-4f10-83b1-fb7b300ee875,South Swindon,E14000947
f6bd00e6-81bd-4254-a18d-a2652c9002b6,Morley and Outwood,E14000826
e56221cc-8bd2-4293-b09d-546c1636a11f,Forest of Dean,E14000705
ea0abe8f-9931-484b-92f9-e6294a3ba2bb,Airdrie and Shotts,S14000003
7f077092-1634-4be1-9ffa-0c8fbe1921d3,Aberdeen South,S14000002
c5902e80-9c72-4dc8-bdd2-ede485a213f9,Argyll and Bute,S14000005
c0aa0aa4-e950-4232-99a4-3b5093fccb31,Angus,S14000004
1f05527b-50eb-4fe5-8673-09a5e41c04ce,Gateshead,E14000709
fffcaecc-f908-4a04-99a7-407d01bf2c38,Banff and Buchan,S14000007
7f5fef8a-d016-4958-a599-529eb4b5f359,"Ayr, Carrick and Cumnock",S14000006
f58ab8a2-5688-4e2c-a0c3-809a80ee3477,"Caithness, Sutherland and Easter Ross",S14000009
2a777df2-5df0-4f50-8028-3fa93c2c3cc0,"Berwickshire, Roxburgh and Selkirk",S14000008
74ee63b0-b356-40ab-bdbb-6ef5b261f81b,South Northamptonshire,E14000942
80bede83-0412-4b81-8c48-8d9da2a2eadc,Milton Keynes North,E14000821
a2f1e8f3-b399-45d6-9afc-020cf65a90fe,Faversham and MID Kent,E14000700
ecbe7f43-2a2d-4da7-92d5-3c0fff8f98a0,South Norfolk,E14000941
de753b07-90f8-4fe7-9849-fe2fcfd4bcb3,Worcester,E14001052
93be663f-9e74-4bcb-aada-23add6b03f59,Middlesbrough South and East Cleveland,E14000820
0b3dda2e-633b-46c2-9efa-268d9fe627dc,South Leicestershire,E14000940
0f89c9d3-ae30-4385-b6dc-3e007cfc4493,South Derbyshire,E14000935
58fc11bc-52dc-4fe9-8bc9-06bcdb4f2cc1,Mid Derbyshire,E14000814
